GPU,Implementation,M,N,K,Density,Time_ms,Throughput_GFlops,Verification
NVIDIA A100-SXM4-40GB,Naive,32,32,32,1,43.0664,0.00152174,PASSED
NVIDIA A100-SXM4-40GB,Shared Memory,32,32,32,1,0.03248,2.01773,PASSED
NVIDIA A100-SXM4-40GB,Tensor Cores,32,32,32,1,0.028608,2.29083,PASSED
NVIDIA A100-SXM4-40GB,cuBLAS,32,32,32,1,173.939,0.000376775,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS,32,32,32,1,1.60051,0.0409469,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS Tensor Cores,32,32,32,1,1.46934,0.0446022,PASSED
NVIDIA A100-SXM4-40GB,Naive,1024,1024,1024,1,1.14675,1872.67,PASSED
NVIDIA A100-SXM4-40GB,Shared Memory,1024,1024,1024,1,0.830336,2586.28,PASSED
NVIDIA A100-SXM4-40GB,Tensor Cores,1024,1024,1024,1,0.946784,2268.19,PASSED
NVIDIA A100-SXM4-40GB,cuBLAS,1024,1024,1024,1,18.0633,118.887,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS,1024,1024,1024,1,2.26067,949.931,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS Tensor Cores,1024,1024,1024,1,4.26758,503.208,PASSED
NVIDIA A100-SXM4-40GB,Shared Memory,8192,8192,8192,1,223.107,4928.19,PASSED
NVIDIA A100-SXM4-40GB,Tensor Cores,8192,8192,8192,1,240.737,4567.28,FAILED
NVIDIA A100-SXM4-40GB,cuBLAS,8192,8192,8192,1,66.9055,16433.8,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS,8192,8192,8192,1,59.9441,18342.3,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS Tensor Cores,8192,8192,8192,1,244.593,4495.27,FAILED
NVIDIA A100-SXM4-40GB,Naive,1024,2048,1024,1,1.54624,2777.68,PASSED
NVIDIA A100-SXM4-40GB,Shared Memory,1024,2048,1024,1,0.85184,5041.99,PASSED
NVIDIA A100-SXM4-40GB,Tensor Cores,1024,2048,1024,1,1.01971,4211.94,PASSED
NVIDIA A100-SXM4-40GB,cuBLAS,1024,2048,1024,1,9.23798,464.925,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS,1024,2048,1024,1,1.83162,2344.91,PASSED
NVIDIA A100-SXM4-40GB,CUTLASS Tensor Cores,1024,2048,1024,1,4.73725,906.638,PASSED
