GPU,Implementation,M,N,Time_ms,Throughput_GBps,Verification
NVIDIA A100-PCIE-40GB,Naive,32,32,0.283648,0.0268974,PASSED
NVIDIA A100-PCIE-40GB,Shared,32,32,0.02064,0.369641,PASSED
NVIDIA A100-PCIE-40GB,Swizzled,32,32,0.020032,0.38086,PASSED
NVIDIA A100-PCIE-40GB,Vectorized,32,32,0.020608,0.370215,PASSED
NVIDIA A100-PCIE-40GB,WarpShuffle,32,32,0.040096,0.190278,PASSED
NVIDIA A100-PCIE-40GB,cuBLAS,32,32,0.55936,0.0136395,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Naive,32,32,0.019488,0.391492,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Shared,32,32,0.01856,0.411067,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Swizzled,32,32,0.016416,0.464754,PASSED
NVIDIA A100-PCIE-40GB,Naive,1024,1024,0.053536,145.93,PASSED
NVIDIA A100-PCIE-40GB,Shared,1024,1024,0.018784,415.912,PASSED
NVIDIA A100-PCIE-40GB,Swizzled,1024,1024,0.051648,151.264,PASSED
NVIDIA A100-PCIE-40GB,Vectorized,1024,1024,0.012576,621.223,PASSED
NVIDIA A100-PCIE-40GB,WarpShuffle,1024,1024,0.316256,24.7031,PASSED
NVIDIA A100-PCIE-40GB,cuBLAS,1024,1024,0.021152,369.35,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Naive,1024,1024,0.050432,154.912,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Shared,1024,1024,0.015232,512.9,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Swizzled,1024,1024,0.0176,443.892,PASSED
NVIDIA A100-PCIE-40GB,Naive,8192,8192,2.82054,177.271,PASSED
NVIDIA A100-PCIE-40GB,Shared,8192,8192,0.761056,656.982,PASSED
NVIDIA A100-PCIE-40GB,Swizzled,8192,8192,3.47386,143.932,PASSED
NVIDIA A100-PCIE-40GB,Vectorized,8192,8192,0.272192,1836.94,PASSED
NVIDIA A100-PCIE-40GB,WarpShuffle,8192,8192,25.553,19.5672,PASSED
NVIDIA A100-PCIE-40GB,cuBLAS,8192,8192,0.473824,1055.24,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Naive,8192,8192,3.45792,144.596,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Shared,8192,8192,0.7336,681.57,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Swizzled,8192,8192,0.764224,654.258,PASSED
NVIDIA A100-PCIE-40GB,Naive,1024,2048,0.114496,136.468,PASSED
NVIDIA A100-PCIE-40GB,Shared,1024,2048,0.05168,302.341,PASSED
NVIDIA A100-PCIE-40GB,Swizzled,1024,2048,0.125408,124.593,PASSED
NVIDIA A100-PCIE-40GB,Vectorized,1024,2048,0.03552,439.893,PASSED
NVIDIA A100-PCIE-40GB,WarpShuffle,1024,2048,0.79168,19.7365,PASSED
NVIDIA A100-PCIE-40GB,cuBLAS,1024,2048,0.064448,242.444,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Naive,1024,2048,0.128,122.07,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Shared,1024,2048,0.035552,439.497,PASSED
NVIDIA A100-PCIE-40GB,CuTe_Swizzled,1024,2048,0.03968,393.775,PASSED
